"Longitude","Latitude","Parameter.Name","Date","level"
-82.50722,27.29056,"pm25",2014-01-02,3.2
-82.73987,27.78587,"pm25",2014-01-02,3.2
-97.43156,27.80449,"pm25",2014-01-02,6.5
-82.2304,27.96565,"pm25",2014-01-02,4.6
-80.62861,28.05361,"pm25",2014-01-02,3.7
-81.3625,28.59639,"pm25",2014-01-02,2.7
-81.31056,28.74611,"pm25",2014-01-02,2.8
-81.0525,29.20667,"pm25",2014-01-02,2.5
-90.77997,29.67888,"pm25",2014-01-02,7.7
-95.25759,29.73373,"pm25",2014-01-02,9.1
-95.03123,29.7707,"pm25",2014-01-02,8.7
-90.08333,29.88306,"pm25",2014-01-02,7.2
-90.27509,30.04357,"pm25",2014-01-02,7.9
-81.63417,30.13556,"pm25",2014-01-02,1.7
-93.21451,30.17714,"pm25",2014-01-02,7.2
-91.06056,30.21778,"pm25",2014-01-02,9.6
-93.57833,30.22778,"pm25",2014-01-02,7.7
-89.39592,30.30083,"pm25",2014-01-02,8.3
-81.54778,30.35472,"pm25",2014-01-02,2.1
-81.6354,30.35634,"pm25",2014-01-02,2.7
-88.53393,30.37829,"pm25",2014-01-02,8.8
-89.04978,30.39037,"pm25",2014-01-02,9.9
-84.34639,30.43972,"pm25",2014-01-02,4.3
-91.17922,30.46198,"pm25",2014-01-02,11.9
-91.21356,30.50064,"pm25",2014-01-02,8.7
-87.20355,30.52537,"pm25",2014-01-02,7.1
-92.41061,31.17764,"pm25",2014-01-02,8.5
-84.10019,31.57692,"pm25",2014-01-02,6.7
-106.45522,31.7657,"pm25",2014-01-02,6.3
-110.9823,32.29515,"pm25",2014-01-02,8.75
-111.03839,32.32266,"pm25",2014-01-02,9.6
-90.18272,32.32911,"pm25",2014-01-02,7.7
-90.1412,32.38573,"pm25",2014-01-02,8.4
-93.795,32.47167,"pm25",2014-01-02,9
-92.04609,32.50971,"pm25",2014-01-02,7.6
-117.05908,32.63123,"pm25",2014-01-02,18.8
-115.48414,32.67619,"pm25",2014-01-02,12.9
-117.14965,32.70149,"pm25",2014-01-02,18.7
-96.79769,32.77426,"pm25",2014-01-02,10.3
-79.95869,32.79098,"pm25",2014-01-02,5.4
-116.94209,32.79119,"pm25",2014-01-02,16.8
-115.56306,32.79222,"pm25",2014-01-02,5.8
-97.35657,32.80582,"pm25",2014-01-02,9.9
-96.86008,32.81995,"pm25",2014-01-02,10.3
-117.12389,32.84547,"pm25",2014-01-02,9.9
-115.53917,32.97833,"pm25",2014-01-02,10.9
-117.07533,33.12771,"pm25",2014-01-02,16.7
-91.95038,33.13686,"pm25",2014-01-02,9.1
-92.66962,33.22027,"pm25",2014-01-02,14.3
-87.00361,33.33111,"pm25",2014-01-02,7.1
