"Longitude","Latitude","Parameter.Name","level"
-106.548333,35.299444,"ozone",0.045895
-96.918326,35.302864,"ozone",0.042621
-97.484099,35.320105,"ozone",0.04555
-119.000974,35.331302,"ozone",0.055117
-118.852037,35.346094,"ozone",0.048404
-80.695,35.347222,"ozone",0.043826
-120.04019,35.35472,"ozone",0.046936
-119.041209,35.356092,"ozone",0.052159
-120.84271,35.36631,"ozone",0.034397
-89.83447,35.378153,"ozone",0.043536
-82.7925,35.379167,"ozone",0.047084
-94.524413,35.40814,"ozone",0.04226
-83.443697,35.435509,"ozone",0.035901
-81.27675,35.438556,"ozone",0.042565
-119.016765,35.438869,"ozone",0.047614
-97.494309,35.477036,"ozone",0.045931
-97.303044,35.477801,"ozone",0.046326
-97.751503,35.479215,"ozone",0.04486
-120.66804,35.49158,"ozone",0.039773
-83.310242,35.498711,"ozone",0.035154
-82.59986,35.500102,"ozone",0.041067
-119.272606,35.503587,"ozone",0.048572
-82.96337,35.50716,"ozone",0.040717
-83.236111,35.524444,"ozone",0.047882
-80.66756,35.534482,"ozone",0.043769
-80.395039,35.551868,"ozone",0.041962
-83.498056,35.562778,"ozone",0.048844
-83.0775,35.59,"ozone",0.045493
-78.461944,35.590833,"ozone",0.039009
-78.7925,35.596944,"ozone",0.038386
-83.783611,35.603056,"ozone",0.03825
-97.475083,35.614131,"ozone",0.046949
-106.07968,35.61975,"ozone",0.048266
-83.943512,35.63149,"ozone",0.046481
-120.690977,35.631629,"ozone",0.038752
-77.35805,35.63861,"ozone",0.038297
-120.23135,35.64368,"ozone",0.049585
-83.609722,35.696667,"ozone",0.047276
-84.342193,35.720894,"ozone",0.04307
-94.669697,35.750735,"ozone",0.045351
-79.159722,35.757222,"ozone",0.034673
-117.397004,35.763873,"ozone",0.043477
-82.264944,35.765413,"ozone",0.048962
-115.357048,35.785671,"ozone",0.0489723333333333
-76.89782,35.81069,"ozone",0.037755
-93.20826,35.832726,"ozone",0.042738
-94.985964,35.85408,"ozone",0.043482
-78.574167,35.856111,"ozone",0.038444
-80.557278,35.897068,"ozone",0.041516
-81.191,35.9139,"ozone",0.038628
-81.189758,35.928999,"ozone",0.041797
-81.530278,35.935833,"ozone",0.039877
-87.137005,35.951534,"ozone",0.041262
-96.004975,35.953708,"ozone",0.045
-84.22316,35.96522,"ozone",0.040618
-81.933056,35.972222,"ozone",0.038956
-114.846298,35.978125,"ozone",0.04765
-77.582778,35.988333,"ozone",0.040411
-94.167436,36.011703,"ozone",0.045215
-83.87381,36.019186,"ozone",0.041275
-80.342,36.026,"ozone",0.042136
-119.055018,36.031831,"ozone",0.05345
-78.905417,36.032944,"ozone",0.039833
-85.7331,36.0388,"ozone",0.041062
-80.143889,36.050833,"ozone",0.043184
-86.286261,36.060833,"ozone",0.041717
-112.153808,36.071681,"ozone",0.049139
-83.764806,36.085508,"ozone",0.041368
-78.463719,36.096189,"ozone",0.039382
-79.810456,36.100711,"ozone",0.041419
-96.361196,36.105481,"ozone",0.044534
-83.602077,36.105629,"ozone",0.046004
-82.0454,36.1058,"ozone",0.043435
-115.253352,36.106372,"ozone",0.0471766666666667
-80.226667,36.110556,"ozone",0.045582
-95.764537,36.133802,"ozone",0.044416
-78.768056,36.141111,"ozone",0.040346
-115.078725,36.141895,"ozone",0.043126
-115.056305,36.142957,"ozone",0.04349
-86.623301,36.150742,"ozone",0.041537
-98.931973,36.158414,"ozone",0.045902
-115.263025,36.169751,"ozone",0.0467293333333333
-115.332714,36.173416,"ozone",0.047206
-94.116827,36.1797,"ozone",0.043371
-106.698369,36.187742,"ozone",0.048609
-115.12293,36.19126,"ozone",0.0444496666666667
-80.215833,36.203056,"ozone",0.037056
-95.976537,36.204902,"ozone",0.043842
-86.744722,36.205,"ozone",0.038312
-121.126371,36.209286,"ozone",0.037269
-95.249943,36.228408,"ozone",0.043876
-119.766212,36.233274,"ozone",0.050627
-115.238256,36.270583,"ozone",0.047598
-86.653137,36.29756,"ozone",0.045934
-79.09197,36.306965,"ozone",0.039267
-79.467417,36.307033,"ozone",0.040303
-79.859167,36.308889,"ozone",0.042205
-119.64457,36.314399,"ozone",0.054196
-119.291228,36.332179,"ozone",0.043424
-95.999247,36.357438,"ozone",0.045155
-115.362234,36.357786,"ozone",0.052586
-114.907406,36.391007,"ozone",0.0558243333333333
-83.8268,36.47,"ozone",0.04232
-121.156556,36.485217,"ozone",0.044963
-118.829167,36.489444,"ozone",0.054807
-121.731571,36.495767,"ozone",0.034978
-116.847778,36.508611,"ozone",0.047977
-82.424824,36.541439,"ozone",0.042234
-118.778995,36.567178,"ozone",0.057251
-82.485742,36.58211,"ozone",0.042029
-119.503611,36.5975,"ozone",0.056082
-83.73694,36.60843,"ozone",0.040107
-120.382331,36.634225,"ozone",0.049705
-83.5264,36.6719,"ozone",0.040607
-121.637182,36.69676,"ozone",0.033202
-119.741966,36.705506,"ozone",0.050006
-93.222,36.707727,"ozone",0.041967
-86.566284,36.708607,"ozone",0.040515
-107.976944,36.742222,"ozone",0.045557
-87.8499,36.7841,"ozone",0.042575
-119.774174,36.785322,"ozone",0.047031
-108.4725,36.796667,"ozone",0.046036
-108.69523,36.8071,"ozone",0.047611
-114.060879,36.807913,"ozone",0.051246
-107.65158,36.80973,"ozone",0.046941
-119.717356,36.819111,"ozone",0.053165
-119.874444,36.841389,"ozone",0.054925
-121.362121,36.844096,"ozone",0.036629
-120.01,36.866667,"ozone",0.050549
-87.323337,36.91171,"ozone",0.044167
-94.838889,36.922222,"ozone",0.042175
-120.034203,36.953256,"ozone",0.054032
-97.03135,36.956222,"ozone",0.046391
-121.989328,36.983921,"ozone",0.031702
-121.574684,36.999571,"ozone",0.039307
-86.21487,37.04926,"ozone",0.042752
-88.57251,37.05822,"ozone",0.041339
-122.00764,37.07206,"ozone",0.037759
-121.600031,37.079379,"ozone",0.040206
-84.61152,37.09798,"ozone",0.04172
-107.870219,37.10258,"ozone",0.05336
-113.183,37.129,"ozone",0.053868
-86.147778,37.131944,"ozone",0.044207
-107.62863,37.13678,"ozone",0.053061
-88.394024,37.155392,"ozone",0.044033
-113.1506,37.1983,"ozone",0.054268
-108.490278,37.198333,"ozone",0.054937
-119.699065,37.2136,"ozone",0.051886
-121.979675,37.226862,"ozone",0.035922
-94.42468,37.2385,"ozone",0.044818
-93.299886,37.256136,"ozone",0.043098
-120.434992,37.281598,"ozone",0.047767
-83.20932,37.28329,"ozone",0.038331
-107.484167,37.30389,"ozone",0.054319
-122.069705,37.318435,"ozone",0.0331
-93.204635,37.31951,"ozone",0.043505
-121.894898,37.348497,"ozone",0.032471
-108.592334,37.350054,"ozone",0.048798
-97.366399,37.47689,"ozone",0.046718
-82.53532,37.4826,"ozone",0.037045
-122.20337,37.482934,"ozone",0.028783
-120.837005,37.487981,"ozone",0.049126
-119.844591,37.549928,"ozone",0.05787
-120.994622,37.641583,"ozone",0.04151
-122.031547,37.654456,"ozone",0.034099
-121.44056,37.6825,"ozone",0.043516
-121.784217,37.687526,"ozone",0.036134
-94.035,37.69,"ozone",0.04372
-97.314847,37.702066,"ozone",0.045226
-89.69864,37.70264,"ozone",0.044463
-85.0485,37.7046,"ozone",0.043618
-85.852629,37.705612,"ozone",0.041465
-119.704867,37.713259,"ozone",0.049278
-122.169935,37.743065,"ozone",0.026014
-121.934188,37.743649,"ozone",0.035118
-122.399044,37.765946,"ozone",0.026602
-111.614722,37.775556,"ozone",0.049405
-87.075307,37.780776,"ozone",0.045796
-122.282347,37.814781,"ozone",0.025011
-87.46375,37.8712,"ozone",0.0441
-84.58825,37.89147,"ozone",0.04278
-97.492083,37.897506,"ozone",0.04614
-90.42388,37.90084,"ozone",0.045107
-83.0662,37.9214,"ozone",0.040911
-122.026154,37.936013,"ozone",0.031911
-86.89719,37.93829,"ozone",0.042827
-121.268523,37.950741,"ozone",0.036602
-87.321939,37.954511,"ozone",0.045143
-122.356811,37.9604,"ozone",0.030042
-122.520004,37.97231,"ozone",0.029542
-120.379611,37.981582,"ozone",0.045262
-85.71192,37.98629,"ozone",0.041165
-87.718429,38.005289,"ozone",0.044322
-121.641918,38.006311,"ozone",0.037098
-87.577856,38.013248,"ozone",0.046743
-87.278337,38.052003,"ozone",0.044214
-85.89804,38.06091,"ozone",0.041978
-84.49761,38.06503,"ozone",0.042543
-88.624943,38.082155,"ozone",0.044077
-122.237976,38.102507,"ozone",0.032411
-86.603594,38.113159,"ozone",0.044495
-87.536957,38.113947,"ozone",0.047525
-94.731988,38.135882,"ozone",0.04266
-85.57648,38.13784,"ozone",0.044395
-89.788459,38.176278,"ozone",0.043689
-87.341396,38.194501,"ozone",0.041481
-120.681567,38.201852,"ozone",0.042086
-122.075624,38.227066,"ozone",0.037591
-85.65452,38.22876,"ozone",0.042661
-82.9881,38.23887,"ozone",0.041358
-121.420838,38.302591,"ozone",0.037209
-85.834167,38.308056,"ozone",0.045224
-122.296189,38.310942,"ozone",0.032997
-120.763515,38.339905,"ozone",0.040622
-121.950003,38.358365,"ozone",0.037392
-85.664167,38.393833,"ozone",0.046387
-85.44428,38.4002,"ozone",0.043298
-122.710169,38.443503,"ozone",0.027436
-76.1114,38.445,"ozone",0.045451
-90.39854,38.448633,"ozone",0.044593
-109.821111,38.458611,"ozone",0.05361
-82.64041,38.45934,"ozone",0.041188
-90.7052,38.4902,"ozone",0.043234
-121.211131,38.494475,"ozone",0.048329
-76.811944,38.504167,"ozone",0.043337
-82.659301,38.508114,"ozone",0.040871
-121.7734,38.53445,"ozone",0.03707
-76.617194,38.536722,"ozone",0.044635
-82.731163,38.548136,"ozone",0.039665
-121.492981,38.558228,"ozone",0.036114
-76.140449,38.587635,"ozone",0.044323
-90.160477,38.612034,"ozone",0.04325
-121.368014,38.613779,"ozone",0.042072
-82.45886,38.62901,"ozone",0.040462
-75.612688,38.644476,"ozone",0.043477
-121.506767,38.650783,"ozone",0.038497
-122.901857,38.654069,"ozone",0.0335
-90.198646,38.656498,"ozone",0.043164
-121.73269,38.66121,"ozone",0.039189
-121.164457,38.683304,"ozone",0.045099
-92.09308,38.70608,"ozone",0.043238
-90.4759,38.7109,"ozone",0.044888
-121.38109,38.71209,"ozone",0.041842
-120.821916,38.725282,"ozone",0.049556
-89.959963,38.726573,"ozone",0.045519
-87.4853,38.7408,"ozone",0.046274
-121.266312,38.745726,"ozone",0.040589
-94.57997,38.75976,"ozone",0.044196
-99.763424,38.770081,"ozone",0.047905
-75.162673,38.779196,"ozone",0.044404
-120.033084,38.81161,"ozone",0.050115
-76.74417,38.81194,"ozone",0.044528
